month,day,Temp2009,hour_of_day,Temp2010
Jan,1,-0.9,12,-6.4
Jan,2,-2.2,12,-6.6
Jan,3,4.2,12,-7.4
Jan,4,-4.7,12,0.2
Jan,5,-7.8,12,-7.3
Jan,6,3.6,12,-9.4
Jan,7,-0.7,12,-7.1
Jan,8,3.7,12,-10.3
Jan,9,7.5,12,-9.2
Jan,10,4.6,12,-3.5
Jan,11,3.1,12,-4.9
Jan,12,4.4,12,-6.7
Jan,13,5.4,12,-7.6
Jan,14,3.1,12,-0.6
Jan,15,0.4,12,-2.2
Jan,16,-3.2,12,-0.4
Jan,17,-0.2,12,-0.4
Jan,18,1.5,12,-0.3
Jan,19,3.6,12,0
Jan,20,4.2,12,-0.5
Jan,21,4.9,12,0.1
Jan,22,0,12,-1
Jan,23,2.5,12,-2
Jan,24,4,12,-3.5
Jan,25,4.1,12,-3.4
Jan,26,2.7,12,-4
Jan,27,2.8,12,0
Jan,28,0.4,12,0.7
Jan,29,1.9,12,-7
Jan,30,1.2,12,-9.2
Jan,31,1.3,12,-9.3
Feb,1,-0.7,12,-6.9
Feb,2,-1.1,12,-0.6
Feb,3,1.7,12,-0.4
Feb,4,-0.1,12,-0.3
Feb,5,2.1,12,-1.3
Feb,6,3.2,12,-2
Feb,7,4.2,12,-3.2
Feb,8,1.9,12,-0.9
Feb,9,0.9,12,-3.9
Feb,10,1.9,12,-3
Feb,11,0.1,12,-2
Feb,12,-1.1,12,-1.7
Feb,13,-0.8,12,-5.3
Feb,14,-0.3,12,-4.3
Feb,15,0.7,12,-2.9
Feb,16,-1.8,12,-0.4
Feb,17,-3.4,12,-1.4
Feb,18,-4,12,-0.7
Feb,19,-2,12,-1.9
Feb,20,-1.4,12,-5.9
Feb,21,-0.3,12,-10.1
Feb,22,5.6,12,-6.6
Feb,23,2.2,12,-4.2
Feb,24,3.5,12,-0.1
Feb,25,4.4,12,-0.4
Feb,26,4.1,12,5
Feb,27,2.5,12,3.2
Feb,28,2.2,12,3.1
Mar,1,2.2,12,0.3
Mar,2,0.8,12,1.1
Mar,3,3.3,12,1.1
Mar,4,6.8,12,-2.7
Mar,5,7.5,12,-0.8
Mar,6,4.2,12,0.4
Mar,7,3.4,12,3.8
Mar,8,3.6,12,2.5
Mar,9,5.3,12,5.1
Mar,10,5.5,12,-1.2
Mar,11,4.3,12,1.1
Mar,12,0.9,12,3.9
Mar,13,3.1,12,4.5
Mar,14,6.1,12,3.8
Mar,15,6.9,12,3.6
Mar,16,4.3,12,3.8
Mar,17,7.1,12,3.8
Mar,18,9.5,12,3.9
Mar,19,6.1,12,5.8
Mar,20,6.3,12,6.8
Mar,21,7.5,12,7.4
Mar,22,5.2,12,5.6
Mar,23,7.8,12,6.1
Mar,24,1.8,12,7.1
Mar,25,2.5,12,13.4
Mar,26,3.6,12,12.2
Mar,27,3.6,12,4.1
Mar,28,6.2,12,6.5
Mar,29,6.3,12,5.8
Mar,30,5.8,12,9.5
Mar,31,10.1,12,7.9
Apr,1,12.9,12,6.8
Apr,2,7.7,12,6.2
Apr,3,5.6,12,11.9
Apr,4,14,12,9.4
Apr,5,10.1,12,5.8
Apr,6,10.4,12,6.1
Apr,7,10.9,12,13.3
Apr,8,8.2,12,8.8
Apr,9,11.8,12,11.1
Apr,10,16.4,12,9.1
Apr,11,17.1,12,12.9
Apr,12,14.4,12,13.7
Apr,13,12.7,12,13.4
Apr,14,16,12,14.2
Apr,15,11.7,12,11.2
Apr,16,15,12,11.7
Apr,17,15.8,12,10.2
Apr,18,13,12,8.4
Apr,19,9,12,8.3
Apr,20,9.2,12,6.2
Apr,21,9,12,4.8
Apr,22,13.2,12,8.4
Apr,23,14.6,12,7.4
Apr,24,16.5,12,9.6
Apr,25,17.6,12,11.5
Apr,26,17.5,12,16.2
Apr,27,22,12,9.5
Apr,28,17.2,12,9
Apr,29,23.6,12,13.1
Apr,30,23.4,12,11.7
May,1,19.2,12,10.8
May,2,15.9,12,11.8
May,3,12.4,12,10.7
May,4,12.2,12,5.8
May,5,12.7,12,12.1
May,6,10.8,12,10.8
May,7,11.7,12,12.6
May,8,12.7,12,6.5
May,9,13.5,12,10.6
May,10,13,12,9.2
May,11,12,12,10.3
May,12,15.6,12,7.5
May,13,15.5,12,9.8
May,14,11.7,12,15.1
May,15,15.1,12,14.3
May,16,17.7,12,11.7
May,17,15.2,12,11.1
May,18,16.4,12,19.7
May,19,13.7,12,22.6
May,20,16,12,22.7
May,21,15,12,20.9
May,22,12.6,12,23.5
May,23,16.6,12,19.7
May,24,12.9,12,16.3
May,25,15.1,12,10.5
May,26,19.2,12,15.3
May,27,14.8,12,12
May,28,15.8,12,10.9
May,29,20.8,12,14
May,30,23.3,12,17.7
May,31,24.7,12,20
Jun,1,25.3,12,22.2
Jun,2,20.5,12,22.7
Jun,3,14.5,12,17.8
Jun,4,13.5,12,22.5
Jun,5,12.9,12,17.8
Jun,6,14.1,12,18.7
Jun,7,15.5,12,15
Jun,8,14.3,12,16.1
Jun,9,16.4,12,14.1
Jun,10,13.3,12,16.4
Jun,11,16.1,12,14.9
Jun,12,12.5,12,13.3
Jun,13,17.7,12,14.3
Jun,14,15.5,12,14.7
Jun,15,16.6,12,18.7
Jun,16,16.1,12,17.3
Jun,17,16,12,16.6
Jun,18,16.4,12,18
Jun,19,13.5,12,13.6
Jun,20,15.6,12,13.5
Jun,21,15.1,12,19.9
Jun,22,19.7,12,15.8
Jun,23,20.2,12,15.8
Jun,24,26.7,12,20.1
Jun,25,25.8,12,18.4
Jun,26,25.7,12,19.8
Jun,27,26.7,12,17.6
Jun,28,27.9,12,22.1
Jun,29,29.5,12,25.1
Jun,30,26.9,12,19.6
Jul,1,25.9,12,21.6
Jul,2,28.5,12,25.8
Jul,3,26.3,12,28.3
Jul,4,26.6,12,21.3
Jul,5,22.9,12,21.9
Jul,6,22,12,18.9
Jul,7,19.9,12,19.1
Jul,8,21.2,12,16.8
Jul,9,15,12,21.2
Jul,10,15,12,25.4
Jul,11,16.8,12,28.6
Jul,12,18.6,12,27.6
Jul,13,20,12,21.8
Jul,14,22.4,12,23.2
Jul,15,23.8,12,20.7
Jul,16,20.3,12,26.2
Jul,17,23,12,21.9
Jul,18,17.7,12,18.9
Jul,19,19.1,12,19
Jul,20,19.3,12,25.8
Jul,21,19.1,12,27.3
Jul,22,17.4,12,21.6
Jul,23,16.7,12,20.5
Jul,24,18.8,12,18.7
Jul,25,19.4,12,12.5
Jul,26,20.5,12,21.2
Jul,27,16.4,12,21.9
Jul,28,19.4,12,22.9
Jul,29,20.6,12,19.1
Jul,30,18.1,12,16.7
Jul,31,16.4,12,20.3
Aug,1,18.8,12,19.2
Aug,2,24.4,12,21.5
Aug,3,18.1,12,19
Aug,4,18.2,12,20.1
Aug,5,24,12,23.2
Aug,6,25.2,12,17.4
Aug,7,26.4,12,23.6
Aug,8,25.6,12,19.7
Aug,9,20.5,12,18.8
Aug,10,20.3,12,20
Aug,11,19.1,12,19
Aug,12,18.5,12,21.1
Aug,13,19.5,12,22.6
Aug,14,18.3,12,21.9
Aug,15,16.4,12,26.6
Aug,16,18.9,12,17.4
Aug,17,17.9,12,18.9
Aug,18,18.7,12,22.4
Aug,19,20.2,12,18.6
Aug,20,26.9,12,18.9
Aug,21,19.8,12,21.4
Aug,22,18,12,20
Aug,23,18,12,19
Aug,24,22.4,12,15.6
Aug,25,22.6,12,16.3
Aug,26,19.1,12,17.3
Aug,27,20.8,12,17.3
Aug,28,20.8,12,17.8
Aug,29,18.4,12,15.9
Aug,30,17,12,16.5
Aug,31,17.5,12,18
Sep,1,25.3,12,19.5
Sep,2,18.2,12,16.9
Sep,3,19.4,12,16
Sep,4,16.9,12,16
Sep,5,17.9,12,15.9
Sep,6,18.1,12,19.2
Sep,7,16.4,12,19.2
Sep,8,19.2,12,18.8
Sep,9,18.3,12,18
Sep,10,19.8,12,14.4
Sep,11,19.3,12,16.3
Sep,12,17.2,12,17.9
Sep,13,18.2,12,17.7
Sep,14,17.6,12,16.7
Sep,15,18.8,12,14.2
Sep,16,16.5,12,14.9
Sep,17,15.7,12,13.5
Sep,18,17.8,12,14.1
Sep,19,19.5,12,12.8
Sep,20,17.2,12,13.2
Sep,21,15.7,12,14.6
Sep,22,16.2,12,14.7
Sep,23,15.4,12,17.6
Sep,24,15.7,12,18.2
Sep,25,16.4,12,11.2
Sep,26,15.4,12,12.2
Sep,27,16.5,12,13.9
Sep,28,14.4,12,12.2
Sep,29,13.1,12,13.3
Sep,30,11.7,12,13.8
Oct,1,7.8,12,11.4
Oct,2,11.6,12,12.1
Oct,3,12.6,12,14.1
Oct,4,12.5,12,16.8
Oct,5,11.4,12,15.2
Oct,6,13.5,12,13.5
Oct,7,13.1,12,15.1
Oct,8,12,12,13.2
Oct,9,9.4,12,12.8
Oct,10,9.6,12,9.2
Oct,11,7.9,12,9.7
Oct,12,8.1,12,13.2
Oct,13,6,12,10.5
Oct,14,6.3,12,11.5
Oct,15,8.2,12,8.2
Oct,16,3.8,12,7.2
Oct,17,9.9,12,9.6
Oct,18,9.1,12,8.4
Oct,19,11.2,12,9.9
Oct,20,10.5,12,4.8
Oct,21,8.2,12,7
Oct,22,9.9,12,7.3
Oct,23,9,12,5.8
Oct,24,7.3,12,4.5
Oct,25,8.6,12,8.4
Oct,26,11.3,12,8.7
Oct,27,8.4,12,7.5
Oct,28,5.6,12,10
Oct,29,5.6,12,11.4
Oct,30,4.7,12,11.6
Oct,31,7.5,12,9.7
Nov,1,5.8,12,10.3
Nov,2,4.2,12,7.6
Nov,3,6,12,10.6
Nov,4,2.9,12,10.1
Nov,5,4.1,12,8.6
Nov,6,7.7,12,7
Nov,7,8.7,12,6.7
Nov,8,7.9,12,4.4
Nov,9,6.6,12,1.5
Nov,10,2.7,12,3.1
Nov,11,4.6,12,6.2
Nov,12,3.8,12,7.9
Nov,13,2.2,12,7.3
Nov,14,12,12,8.3
Nov,15,9.8,12,8.1
Nov,16,8.1,12,7
Nov,17,9.8,12,1.4
Nov,18,9,12,0.9
Nov,19,9.8,12,1.3
Nov,20,11.3,12,1.6
Nov,21,10.1,12,2.4
Nov,22,10.3,12,0.7
Nov,23,8.8,12,0.1
Nov,24,9,12,-1.6
Nov,25,9.9,12,-2
Nov,26,9,12,-5.7
Nov,27,7.8,12,-5.1
Nov,28,7.8,12,-3.4
Nov,29,5.6,12,-6.1
Nov,30,7.1,12,-6.9
Dec,1,1.9,12,-6.4
Dec,2,0.5,12,-9.6
Dec,3,2.1,12,-4.6
Dec,4,5.7,12,-2.8
Dec,5,5.3,12,-0.3
Dec,6,4.9,12,-0.7
Dec,7,7.7,12,0.1
Dec,8,6.2,12,0.5
Dec,9,5,12,-5.3
Dec,10,5.4,12,-3
Dec,11,3.5,12,1.7
Dec,12,1,12,-4.6
Dec,13,1.1,12,-3.1
Dec,14,-0.5,12,-5.4
Dec,15,4.5,12,-6.5
Dec,16,-0.1,12,2
Dec,17,-5,12,-7.1
Dec,18,-3.5,12,-1.9
Dec,19,-5.2,12,-5.7
Dec,20,-6.8,12,-5.9
Dec,21,-5,12,-8.6
Dec,22,-3.7,12,-3.4
Dec,23,-0.9,12,-9.4
Dec,24,1.6,12,-9.4
Dec,25,1.7,12,-10.5
Dec,26,-0.4,12,-8.5
Dec,27,2.3,12,-6.8
Dec,28,-0.8,12,-11
Dec,29,1.4,12,-10.6
Dec,30,-5.5,12,-3
Dec,31,-8.1,12,-2.7
