country_of_origin,company,farm_name,total_cup_points
Mexico,NA,"cafetal el equimite, rancho agroecológico",82.42
Mexico,finca los barreales,los barreales 1112lbcat_s110312,82.42
Mexico,NA,corral del diablo lote 1,82.42
Mexico,NA,cañada fria,82.42
Mexico,NA,finca nextlalpa,82.42
Mexico,NA,santa rosa,82.42
Mexico,finca las nieves,fln mirador,82.42
Colombia,carcafe ltda,NA,82.42
Brazil,nucoffee,santa mariana,82.42
Colombia,exportadora de cafe condor s.a,NA,82.42
Colombia,NA,NA,82.42
Brazil,olam,fazenda são pedro,82.33
Brazil,volcafe ltda.,NA,82.33
Brazil,ipanema coffees,capoeirinha,82.33
Brazil,ipanema coffees,rio verde,82.33
Brazil,bourbon specialty coffees,NA,82.33
Guatemala,exportcafe,finca loma linda y anexo,82.33
Brazil,ipanema coffees,rio verde,82.33
Guatemala,"armajaro guatemala, s. a.",el morito,82.33
Mexico,sustainable harvest,NA,82.33
Colombia,the coffee source inc.,several,82.33
Taiwan,blossom valley宸嶧國際,guo cun nong yuan 國村農園,82.33
Taiwan,blossom valley宸嶧國際,yu jin gui 玉金櫃咖啡,82.33
Guatemala,"unex guatemala, s.a.",el morito,82.33
Colombia,exportadora de cafe condor s.a,NA,82.33
Mexico,ecomtrading,santa teresa,82.33
Guatemala,finca el morito,finca el morito,82.33
Mexico,NA,tepemalacax,82.33
Mexico,finca los barreales,finca los barreales 1112lbga7250412,82.33
Guatemala,"unex guatemala, s.a.",agropecuaria quiagral,82.33
Brazil,nucoffee,sitío santa luzia,82.33
Mexico,eczcafe fino s.a. de c.v.,cafetal santa maria,82.33
Brazil,nucoffee,café citrus,82.33
Colombia,carcafe ltda,NA,82.33
Brazil,klem organics coffee,fazendas klem ltda,82.25
Taiwan,宸嶧國際,眉泉莊園,82.25
Guatemala,mercon guatemala s.a.,linda vista,82.25
Brazil,ipanema coffees,rio verde,82.25
Brazil,ipanema coffees,rio verde,82.25
Taiwan,blossom valley宸嶧國際,guo xing ka fei wang 國姓咖啡王咖啡莊園,82.25
Mexico,NA,finca huehuetecpan,82.25
Mexico,NA,omicuatla,82.25
Guatemala,"siembras vision, s.a. / ing. jorge bolaños",finca medina,82.25
Mexico,finca los barreales,los barreales 1112lbgr7230412,82.25
Mexico,NA,jamaica,82.25
Mexico,NA,chilcuatla,82.25
Mexico,organizaciones de productores de cafe colimense sa de cv,comunidad de canoas,82.25
Colombia,exportadora de cafe condor s.a,NA,82.25
Colombia,c.i.racafe & cia s.c.a,NA,82.25
Brazil,nucoffee,caxambu,82.25
Colombia,NA,NA,82.25
Brazil,ipanema coffees,fazenda capoeirnha,82.17
Brazil,ipanema coffees,rio verde,82.17
Guatemala,essence coffee,blue lake,82.17
Brazil,bourbon specialty coffees,NA,82.17
Mexico,"café andrade, s.a. de c.v.",el pino,82.17
Mexico,lusso coffee lab,NA,82.17
Taiwan,blossom valley宸嶧國際,song yue coffee 嵩岳咖啡,82.17
Taiwan,"red on tree co., ltd.",kan tou mountain coffee 崁頭山咖啡館,82.17
Colombia,exportadora de cafe condor s.a,NA,82.17
Mexico,NA,el nanchi,82.17
Guatemala,the coffee source inc.,NA,82.17
Mexico,NA,las truchas,82.17
Mexico,organizaciones de productores de cafe colimense sa de cv,"la calera, barranca de la leona, el nogal",82.17
Colombia,NA,NA,82.17
Colombia,skn caribecafe ltda,NA,82.08
Brazil,ipanema coffees,fazenda capoeirnha,82.08
Brazil,ipanema coffees,rio verde,82.08
Colombia,cafe politico,NA,82.08
Mexico,NA,"cafetal el equimite, rancho agroecológico",82.08
Mexico,indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.,NA,82.08
Mexico,NA,bola de oro,82.08
Mexico,NA,tomatlancillo,82.08
Colombia,NA,NA,82.08
Brazil,ipanema coffees,capoeirinha,82
Taiwan,"red on tree co., ltd.","you siang coffee farmtainan, taiwan 台灣台南優香咖啡",82
Colombia,racafe & cia s.c.a,NA,82
Taiwan,"red on tree co., ltd.",gao chun fang 高醇坊,82
Brazil,café do paraíso,café do paraíso,82
Mexico,NA,la ceiba,82
Brazil,nucoffee,campo das flores,82
Brazil,nucoffee,são josé da lagoa,82
Guatemala,"elfasa, s.a.",el faro,82
Brazil,nucoffee,santa mariana/são vicente,82
Guatemala,coffee resources inc.,conquista / morito,82
Colombia,NA,NA,82
Guatemala,"unex guatemala, s.a.",la esperanza,81.92
Guatemala,"unex guatemala, s.a.",las delicias,81.92
Brazil,volcafe ltda.,santa bárbara,81.92
Guatemala,asociación nacional del café - anacafe -,las cebollas y anexos,81.92
Taiwan,blossom valley宸嶧國際,dragon coffee 龍咖啡,81.92
Mexico,"finca triunfo verde, s.c.",various,81.92
Mexico,NA,platanal,81.92
Mexico,NA,texpanco,81.92
Mexico,NA,la laja,81.92
Mexico,NA,mata larga,81.92
Brazil,nucoffee,sitío corrego da olaria/são caetano,81.92
Colombia,NA,NA,81.92
Guatemala,"unex guatemala, s.a.",la esmeralda,81.83
Brazil,volcafe ltda.,helena,81.83
Guatemala,"unex guatemala, s.a.",chapultepec,81.83
Brazil,ipanema coffees,rio verde,81.83
Brazil,ipanema coffees,rio verde,81.83
Mexico,agroindustrias unidas de mexico sa de cv,rancho bonito,81.83
Taiwan,taiwan coffee laboratory,gao chun fang 高醇坊,81.83
Brazil,ipanema coffees,rio verde,81.83
Mexico,globus coffee,various,81.83
Colombia,racafe & cia s.c.a,NA,81.83
Brazil,exportadora de cafés carmo de minas ltda,sertao farm,81.83
Guatemala,"unex guatemala, s.a.",el sacramento,81.83
Mexico,NA,finca muxbal,81.83
Mexico,NA,el deseo,81.83
Brazil,NA,cianorte,81.83
Colombia,NA,NA,81.83
Guatemala,"unex guatemala, s.a.",las merceditas,81.75
Brazil,cafe politico,NA,81.75
Mexico,NA,los magueyes,81.75
Mexico,NA,finca tepictla,81.75
Mexico,NA,"arroyo triste, arroyo triste, san jose vista hermosa",81.75
Mexico,beneficio custepec s.a. de c.v.,NA,81.75
Mexico,finca las nubes,santa cruz - pante doña graciela,81.75
Colombia,exportadora de cafe condor s.a,NA,81.75
Colombia,NA,NA,81.75
Brazil,ipanema coffees,fazenda capoeirnha,81.67
Guatemala,"unex guatemala, s.a.",las merceditas,81.67
Guatemala,"unex guatemala, s.a.",la esmeralda,81.67
Colombia,racafe & cia s.c.a,NA,81.67
Brazil,ipanema coffees,rio verde,81.67
Brazil,ipanema coffees,rio verde,81.67
Mexico,sustainable harvest,NA,81.67
Taiwan,blossom valley宸嶧國際,mu he zi coffee 木盒子咖啡園,81.67
Taiwan,blossom valley宸嶧國際,guo xin ka fei 國昕咖啡,81.67
Mexico,union ramal santa cruz spr de ri,union ramal santa cruz,81.67
Guatemala,finca el morito,finca el morito,81.67
Mexico,"productora agricola y ganadera finca la suiza, s.p.r. de r.l. de c.v.",finca cafetalera la suiza,81.67
Mexico,NA,NA,81.67
Mexico,NA,ucipa santa catarina,81.67
Mexico,ecomtrading,finca nueva linda,81.67
Mexico,"estrategias constructivas corzu, s.a. de c.v.",sacún palma,81.67
Guatemala,"unex guatemala, s.a.",la esperanza,81.58
Taiwan,taiwan coffee laboratory,baishengcun coffee 百勝村咖啡莊園,81.58
Taiwan,"red on tree co., ltd.",jacob's estate 雅谷咖啡,81.58
Brazil,ipanema coffees,rio verde,81.58
Guatemala,"unex guatemala, s.a.",el morito,81.58
Mexico,union ramal santa cruz spr de ri,union ramal santa cruz,81.58
Mexico,finca santa cruz,las nubes - pante don jaime,81.58
Mexico,finca santa cruz,santa cruz - pante don jaime,81.58
Guatemala,"unex guatemala, s.a.",las delicias,81.5
Guatemala,"unex guatemala, s.a.",las delicias,81.5
Taiwan,宸嶧國際,谷泉咖啡莊園,81.5
Guatemala,outspan guatemala s.a.,various,81.5
Taiwan,"red on tree co., ltd.",good mood coffee 馨晴咖啡,81.5
Brazil,exportadora de cafés carmo de minas ltda,pereira estate coffee,81.5
Taiwan,blossom valley宸嶧國際,xu yuan zhang 徐源漳,81.5
Mexico,ecomtrading,nueva linda,81.5
Mexico,ecomtrading,productor independiente guadalupe victoria,81.5
Mexico,NA,santa maria temaxcalapa,81.5
Mexico,NA,canoa manzanillo,81.5
Mexico,NA,hamburgo 7 arroyos,81.5
Mexico,NA,el romance azul,81.5
Brazil,exportadora de cafés carmo de minas ltda,sertao,81.5
Guatemala,"unex guatemala, s.a.",chiquimulja / alpha cafe / senfro,81.5
Colombia,NA,NA,81.5
Mexico,cafes tomari sa de cv,cafetal,81.42
Guatemala,"agricola nueva granada, s.a.",nueva granada,81.42
Brazil,cafebras comercio de cafés do brasil sa,fazenda rio brilhante,81.42
Taiwan,宸嶧國際,山彎有機咖啡農場,81.42
Brazil,ipanema coffees,rio verde,81.42
Guatemala,cafcom,santo tomas pachuj,81.42
Mexico,globus coffee,various,81.42
Guatemala,"unex guatemala, s.a.",la union monte verde,81.42
Mexico,NA,palantla,81.42
Mexico,grupo cafetalero los brujos,los brujos,81.42
Colombia,exportadora de cafe condor s.a,NA,81.42
Colombia,NA,NA,81.42
Colombia,racafe & cia s.c.a,NA,81.33
Mexico,ac la laja sa de cv,NA,81.33
Brazil,cafebras comercio de cafés do brasil sa,fazenda sacramento,81.33
Brazil,exportadora de cafés carmo de minas ltda,sertao farm,81.33
Mexico,indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.,NA,81.33
Mexico,NA,cruz verde,81.33
Brazil,klem organics coffee,fazendas klem ltda,81.33
Taiwan,taiwan coffee laboratory,jing jing café 晶晶坊青山咖啡教室,81.25
Brazil,ipanema coffees,rio verde,81.25
Guatemala,essence coffee,el injerto s.a.,81.25
Taiwan,blossom valley宸嶧國際,jia jia coffee 佳佳咖啡莊,81.25
Guatemala,"siembras vision, s.a.",finca medina,81.25
Mexico,ecomtrading,finca chanjul,81.25
Mexico,exportadora café california,exportadora café california,81.17
Brazil,bourbon specialty coffees,juliana,81.17
Mexico,indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.,NA,81.17
Guatemala,the coffee source inc.,finca quequesquez,81.17
Brazil,nucoffee,fazenda são sebastião,81.17
Brazil,garca armazens,fazenda são josé mirante,81.08
Mexico,cafetera el grande s.a. de c.v.,"san fernando, chiapas",81.08
Mexico,NA,cafetal sinai,81.08
Mexico,comercializadora profesional mexicana s.a. de c.v.,NA,81.08
Mexico,NA,el desmoronado,81.08
Brazil,bourbon specialty coffees,cachoeira da grama farm,81
Brazil,bourbon specialty coffees,cachoeira da grama farm,81
Guatemala,"unex guatemala, s.a.",chapultepec,81
Colombia,racafe & cia s.c.a,NA,81
Guatemala,"unex guatemala, s.a.",el papaturro,81
Taiwan,taiwan coffee laboratory,jing jing café 晶晶坊青山咖啡教室,81
Brazil,bourbon specialty coffees,NA,81
Taiwan,blossom valley宸嶧國際,taiwan hao ka 台灣好咖莊園,81
Mexico,industrializadora de kaffee andes s.a. de c.v.,finca el gavilancillo,81
Mexico,organizaciones de productores de cafe colimense sa de cv,NA,81
Taiwan,八杞莊園,八杞莊園,80.92
Guatemala,"unex guatemala, s.a.",la esperanza,80.92
Kenya,c dorman ltd,thiririka/maara,80.92
Mexico,grupo santab s.a. de c.v.,finca monte azúl,80.92
Brazil,exportadora de cafés carmo de minas ltda,sertao farm,80.92
Taiwan,宸嶧國際,張文進莊園,80.92
Brazil,ipanema coffees,rio verde,80.92
Guatemala,"armajaro guatemala, s. a.",el morito,80.92
Taiwan,blossom valley宸嶧國際,bi yun si shi yi 碧云四十一咖啡坊,80.92
Taiwan,blossom valley宸嶧國際,bai he lin coffee 白鶴林咖啡莊園,80.92
Taiwan,blossom valley宸嶧國際,heng lu coffee 橫鹿咖啡,80.92
Mexico,NA,"olotlan, el plan, criollo garnica",80.92
Guatemala,the coffee source inc.,several,80.83
Mexico,productora rural la victoria s.p.r. de r.l.,la victoria pante nubes,80.83
Mexico,café san blas,finca santa clara,80.83
Mexico,NA,selva negra,80.83
Colombia,NA,NA,80.83
Brazil,bourbon specialty coffees,castelhana farm,80.75
Guatemala,exportcafe,finca los cerros y anexos,80.75
Mexico,NA,san josé y el portillo,80.75
Taiwan,宸嶧國際,胖胖糖,80.67
Guatemala,"siembras vision, s.a.",finca medina,80.67
Mexico,cafe don balbino s.c. de r.l. de c.v.,"el desmoronado, talpan de allende jalisco",80.67
Colombia,ecom cca sa,NA,80.67
Guatemala,"finca santo tomas pachuj, guatemala",santo tomas pachuj,80.67
Guatemala,"unex guatemala, s.a.",chiquimulja / alpha cafe / senfro,80.67
Guatemala,"unex guatemala, s.a.",chiquimulja / alpha cafe / senfro,80.67
Colombia,NA,NA,80.67
Brazil,bourbon specialty coffees,leticia farm,80.58
Brazil,ipanema coffees,rio verde,80.58
Guatemala,exportcafe,finca el naranjal,80.58
Colombia,NA,NA,80.58
Taiwan,王秋金,王秋金,80.5
Guatemala,"peter schoelfeld, s.a",el guayabo,80.5
Brazil,bourbon specialty coffees,cachoeira da grama farm,80.5
Guatemala,outspan guatemala s.a.,various,80.5
Brazil,exportadora de cafés carmo de minas ltda,pereira estate coffee,80.5
Guatemala,exportcafe,barranca de las flores,80.5
Mexico,cafeorganico.mx,peña negra,80.5
Taiwan,宸嶧國際,春風咖啡,80.42
Taiwan,blossom valley宸嶧國際,guoxing farm coffee 國姓農場咖啡,80.42
Mexico,ecomtrading,copalita,80.42
Mexico,beneficio custepec s.a. de c.v.,NA,80.42
Taiwan,blossom valley宸嶧國際,tokoffee莊園,80.33
Guatemala,"unex guatemala, s.a.",la castellana,80.33
Mexico,estrategias constructivas corzu s.a. de c.v.,NA,80.33
Brazil,volcafe ltda.,são rafael_ ra/ras certified,80.25
Mexico,cafe don balbino s.c. de r.l. de c.v.,cortapico,80.25
Colombia,costco wholesale industries,NA,80.25
Taiwan,blossom valley宸嶧國際,weng hui ling 翁惠鈴,80.25
Guatemala,the coffee source inc.,several,80.25
Mexico,NA,mirador,80.25
Guatemala,"unex guatemala, s.a.",el morito,80.17
Mexico,café katsina,"la orduña, coatepec, veracruz",80.17
Mexico,cafeorganico.mx,el carrizo,80.17
Mexico,cafes de naranjal s.a. de c.v,el aguacate,80.17
Guatemala,"unex guatemala, s.a.",agropecuaria quiagral,80.17
Brazil,carmo coffees,NA,80.08
Taiwan,宸嶧國際,好自在咖啡莊園,80.08
Taiwan,blossom valley宸嶧國際,sheng he shang pin coffee 聖荷上品咖啡坊,80.08
Taiwan,blossom valley宸嶧國際,a shu she coffee 阿束社咖啡莊園,80.08
Taiwan,blossom valley宸嶧國際,wu kun shan coffee 吳焜山咖啡園,80.08
Mexico,cafeorganico.mx,el tabaco,80.08
Mexico,NA,NA,80.08
Mexico,globus coffee,various,80
Taiwan,blossom valley宸嶧國際,zhang li hong coffee 張立宏咖啡莊園,80
Mexico,NA,"la orduña, coatepec, veracruz",80
Mexico,NA,"santa clara, california y camila",80
Colombia,federacion nacional de cafeteros,NA,79.92
Mexico,"finca triunfo verde, s.c.",various,79.92
Mexico,industrializadora de kaffee andes s.a. de c.v.,finca buenos aires,79.92
Mexico,NA,rancho san francisco iii,79.92
Mexico,NA,finca monte grande,79.92
Mexico,NA,finca la orduña,79.92
Mexico,cafetalera la asunción s.a. de c.v.,finca huehuetecpan,79.92
Kenya,taylor winch (coffee) ltd,yara estate / benvar estate,79.83
Guatemala,"unex guatemala, s.a.",piamonte,79.83
Mexico,NA,la cuchilla,79.83
Guatemala,"unex guatemala, s.a.",la esperanza,79.75
Taiwan,"red on tree co., ltd.",ka-vulungan coffee estate,79.75
Taiwan,"red on tree co., ltd.",baijiada coffee farm佰加達咖啡莊園,79.75
Mexico,union ramal santa cruz spr de ri,union ramal santa cruz,79.75
Mexico,comon yaj noptic s. de ss,comonyaj noptic s de ss,79.75
Mexico,"finca triunfo verde, s.c.",various,79.75
Mexico,cafeorganico.mx,peña negra,79.75
Mexico,ecomtrading,el vergel,79.75
Guatemala,lusso coffee lab,genuine antigua medina,79.75
Mexico,cafe montegrande,finca monte grande,79.75
Guatemala,"unex guatemala, s.a.",la esmeralda,79.67
Guatemala,"unex guatemala, s.a.",la castellana,79.67
Mexico,union ramal santa cruz spr de ri,union ramal santa cruz,79.67
Mexico,NA,el encinal,79.67
Mexico,ecomtrading,consolapa,79.67
Mexico,cafetera el grande s.a. de c.v.,tepetzingo,79.58
Mexico,beneficio custepec s.a. de c.v.,NA,79.58
Colombia,NA,NA,79.58
Guatemala,NA,la igualdad,79.58
Taiwan,blossom valley宸嶧國際,su-zhen huang 黃素真,79.5
Colombia,exportadora de cafe condor s.a,NA,79.5
Mexico,beneficio custepec s.a. de c.v.,NA,79.5
Mexico,NA,casa blanca,79.5
Guatemala,"unex guatemala, s.a.",el papaturro,79.42
Guatemala,outspan guatemala s.a.,various,79.42
Mexico,cafessisimo compañia s.a. de c.v.,cre-leg l-4,79.42
Colombia,the coffee source inc.,several,79.33
Mexico,NA,el encanto,79.33
Mexico,NA,la gloria,79.33
Guatemala,"unex guatemala, s.a.",conquista / morito,79.33
Taiwan,"red on tree co., ltd.",baishencun coffee farm百勝村咖啡莊園,79.25
Mexico,cafes de naranjal s.a. de c.v,el aguacate,79.25
Guatemala,"unex guatemala, s.a.",las delicias,79.17
Guatemala,"unex guatemala, s.a.",chapultepec,79.17
Guatemala,mercon guatemala s.a.,el chile,79.17
Mexico,cafeorganico.mx,la tejeria,79.17
Mexico,NA,el delirio,79.17
Mexico,NA,various,79.17
Guatemala,"unex guatemala, s.a.",las merceditas,79.08
Mexico,cafeorganico.mx,huanacaxtle,79.08
Mexico,productores e industrializadores de café orgánico la fe s.c. de r.l.,las palmas,79.08
Mexico,NA,el desmoronado,79.08
Guatemala,outspan guatemala s.a.,various,79
Mexico,café monteabuelo s.a. de c.v.,NA,79
Mexico,cafeorganico.mx,el sauce,79
Mexico,café pico de loro,pico del oro,79
Mexico,ecomtrading,santa teresa,78.92
Mexico,cafeorganico.mx,la pandora,78.92
Guatemala,"unex guatemala, s.a.",la castellana,78.75
Mexico,empagri s.p.r. de r.l. de c.v.,"la patrona, el trebol, la cadena",78.75
Mexico,NA,el tesoro,78.75
Mexico,NA,los encinos,78.75
Mexico,NA,los pinos,78.67
Guatemala,outspan guatemala s.a.,various,78.58
Taiwan,"red on tree co., ltd.",kan tou mountain coffee 崁頭山咖啡館,78.58
Mexico,ecomtrading,grapos el porvenir,78.58
Mexico,organizaciones de productores de cafe colimense sa de cv,cofradia,78.58
Mexico,unión de ejidos san fernando,various,78.5
Mexico,villa talea café,finca sego,78.5
Mexico,NA,cerca de los angeles,78.5
Brazil,bourbon specialty coffees,santa maria,78.42
Mexico,cafeorganico.mx,el naranjo,78.42
Guatemala,outspan guatemala s.a.,various,78.33
Guatemala,"unex guatemala, s.a.",el sacramento,78.33
Mexico,asociación agricola local de productores de café de huautla de jimenez,llano hermoso,78.33
Guatemala,"unex guatemala, s.a.",conquista / morito,78.33
Mexico,NA,NA,78.08
Taiwan,taiwan coffee laboratory,大鋤花間 (hoe vs. flower coffee farm),78
Guatemala,outspan guatemala s.a.,various,78
Guatemala,"unex guatemala, s.a.",la union monte verde,78
Mexico,industrializadora de kaffee andes s.a. de c.v.,finca la fortuna,78
Colombia,NA,NA,78
Mexico,NA,el regadito,77.92
Guatemala,"unex guatemala, s.a.",conquista / morito,77.92
Brazil,green mountain coffee,NA,77.83
Guatemala,"unex guatemala, s.a.",el sacramento,77.83
Taiwan,"red on tree co., ltd.","dongshan gaoyuan village chief manor coffee tainan, taiwan 台灣台南東山高原村長莊園咖啡",77.67
Mexico,NA,rancho los laureles,77.5
Guatemala,"unex guatemala, s.a.",la esperanza y anexos,77.42
Brazil,ipanema coffees,fazenda capoeirnha,77.33
Guatemala,outspan guatemala s.a.,various,77.33
Mexico,cafeorganico.mx,el naranjo,77.33
Mexico,industrializadora de kaffee andes s.a. de c.v.,finca los andes,77.17
Mexico,NA,various,76.75
Guatemala,asociación nacional del café - anacafe -,conquista / morito,76.5
Mexico,exportadora moretto s.a. de c.v.,NA,76.42
Guatemala,"unex guatemala, s.a.",agropecuaria quiagral,76.33
Guatemala,eduardo ambrocio,conquista / morito,76.33
Mexico,cafeorganico.mx,agua de la mariposa,76.17
Mexico,el mejor café,finca tepictla,76.08
Brazil,volcafe ltda.,NA,75.67
Guatemala,"unex guatemala, s.a.",agropecuaria quiagral,75.58
Guatemala,"unex guatemala, s.a.",conquista / morito,75.58
Mexico,productores e industrializadores de café orgánico la fe s.c. de r.l.,la joya,75.5
Mexico,sposel s. de s.s.,"zaragoza, montelibano, pamal navil",75.17
Mexico,cafe montegrande,finca monte grande,75.17
Mexico,union regional de cafeticultores de la mazateca alta,peña campana,75.17
Mexico,grupo juvenil magtayani ac,la cruz,75
Mexico,cafeorganico.mx,el limón,74.92
Mexico,NA,la orduña,74.83
Guatemala,"unex guatemala, s.a.",conquista / morito,74.75
Guatemala,"unex guatemala, s.a.",conquista / morito,74.75
Mexico,cesmach s.c.,sierra madre,74.67
Guatemala,"unex guatemala, s.a.",la castellana,74.33
Mexico,NA,las ceibas,74.33
Mexico,NA,la marina-el orizabeño,74
Mexico,NA,rancho vigia,73.83
Brazil,bourbon specialty coffees,NA,73.5
Mexico,upctiz zapoteca s.p.r. de r.l.,various,72.92
Colombia,costco wholesale industries,NA,72.83
Mexico,cafe colonial de tlatlauquitepec,la vuelta,71.08
Mexico,NA,la morena,71
Mexico,globus coffee,various,70.75
Brazil,volcafe ltda.,NA,70.67
Mexico,terra mia,el centenario,68.33
Guatemala,unicafe,finca el limon,59.83
