country,Year,Forest_coverage,Val_1990,ratio
Argentina,1990,12.9,12.9,1
Argentina,1991,12.8,12.9,0.9922480620155039
Argentina,1992,12.7,12.9,0.9844961240310077
Argentina,1993,12.7,12.9,0.9844961240310077
Argentina,1994,12.6,12.9,0.9767441860465116
Argentina,1995,12.5,12.9,0.9689922480620154
Argentina,1996,12.5,12.9,0.9689922480620154
Argentina,1997,12.4,12.9,0.9612403100775194
Argentina,1998,12.3,12.9,0.9534883720930233
Argentina,1999,12.3,12.9,0.9534883720930233
Argentina,2000,12.2,12.9,0.945736434108527
Argentina,2001,12.1,12.9,0.937984496124031
Argentina,2002,12,12.9,0.9302325581395349
Argentina,2003,11.8,12.9,0.9147286821705427
Argentina,2004,11.7,12.9,0.9069767441860465
Argentina,2005,11.6,12.9,0.8992248062015503
Argentina,2006,11.5,12.9,0.8914728682170543
Argentina,2007,11.4,12.9,0.8837209302325582
Argentina,2008,11.3,12.9,0.875968992248062
Argentina,2009,11.2,12.9,0.8682170542635658
Argentina,2010,11,12.9,0.8527131782945736
Argentina,2011,11,12.9,0.8527131782945736
Argentina,2012,10.9,12.9,0.8449612403100776
Argentina,2013,10.8,12.9,0.8372093023255814
Argentina,2014,10.7,12.9,0.8294573643410852
Argentina,2015,10.6,12.9,0.821705426356589
Argentina,2016,10.6,12.9,0.821705426356589
Argentina,2017,10.6,12.9,0.821705426356589
Argentina,2018,10.5,12.9,0.813953488372093
Argentina,2019,10.5,12.9,0.813953488372093
Australia,1990,17.4,17.4,1
Australia,1991,17.4,17.4,1
Australia,1992,17.4,17.4,1
Australia,1993,17.4,17.4,1
Australia,1994,17.3,17.4,0.9942528735632186
Australia,1995,17.3,17.4,0.9942528735632186
Australia,1996,17.3,17.4,0.9942528735632186
Australia,1997,17.2,17.4,0.9885057471264368
Australia,1998,17.2,17.4,0.9885057471264368
Australia,1999,17.2,17.4,0.9885057471264368
Australia,2000,17.2,17.4,0.9885057471264368
Australia,2001,17.1,17.4,0.9827586206896554
Australia,2002,17.1,17.4,0.9827586206896554
Australia,2003,17.1,17.4,0.9827586206896554
Australia,2004,17,17.4,0.9770114942528736
Australia,2005,17,17.4,0.9770114942528736
Australia,2006,17,17.4,0.9770114942528736
Australia,2007,16.9,17.4,0.9712643678160919
Australia,2008,16.9,17.4,0.9712643678160919
Australia,2009,16.9,17.4,0.9712643678160919
Australia,2010,16.9,17.4,0.9712643678160919
Australia,2011,17,17.4,0.9770114942528736
Australia,2012,17.1,17.4,0.9827586206896554
Australia,2013,17.1,17.4,0.9827586206896554
Australia,2014,17.2,17.4,0.9885057471264368
Australia,2015,17.3,17.4,0.9942528735632186
Australia,2016,17.4,17.4,1
Australia,2017,17.4,17.4,1
Australia,2018,17.4,17.4,1
Australia,2019,17.4,17.4,1
Brazil,1990,70.5,70.5,1
Brazil,1991,70,70.5,0.9929078014184397
Brazil,1992,69.5,70.5,0.9858156028368794
Brazil,1993,69.1,70.5,0.9801418439716312
Brazil,1994,68.7,70.5,0.974468085106383
Brazil,1995,68.2,70.5,0.9673758865248228
Brazil,1996,67.7,70.5,0.9602836879432625
Brazil,1997,67.3,70.5,0.9546099290780141
Brazil,1998,66.8,70.5,0.9475177304964538
Brazil,1999,66.4,70.5,0.9418439716312057
Brazil,2000,65.9,70.5,0.9347517730496455
Brazil,2001,65.5,70.5,0.9290780141843972
Brazil,2002,65,70.5,0.9219858156028369
Brazil,2003,64.5,70.5,0.9148936170212766
Brazil,2004,64,70.5,0.9078014184397163
Brazil,2005,63.6,70.5,0.902127659574468
Brazil,2006,63.1,70.5,0.8950354609929079
Brazil,2007,62.6,70.5,0.8879432624113476
Brazil,2008,62.1,70.5,0.8808510638297873
Brazil,2009,61.7,70.5,0.875177304964539
Brazil,2010,61.2,70.5,0.8680851063829788
Brazil,2011,61,70.5,0.8652482269503546
Brazil,2012,60.8,70.5,0.8624113475177304
Brazil,2013,60.7,70.5,0.8609929078014185
Brazil,2014,60.5,70.5,0.8581560283687943
Brazil,2015,60.3,70.5,0.8553191489361702
Brazil,2016,60.1,70.5,0.8524822695035461
Brazil,2017,59.8,70.5,0.8482269503546099
Brazil,2018,59.7,70.5,0.8468085106382979
Brazil,2019,59.6,70.5,0.8453900709219858
China,1990,16.7,16.7,1
China,1991,16.9,16.7,1.0119760479041915
China,1992,17.1,16.7,1.0239520958083834
China,1993,17.3,16.7,1.035928143712575
China,1994,17.5,16.7,1.0479041916167666
China,1995,17.7,16.7,1.0598802395209581
China,1996,17.9,16.7,1.0718562874251496
China,1997,18.1,16.7,1.0838323353293415
China,1998,18.4,16.7,1.1017964071856288
China,1999,18.6,16.7,1.1137724550898205
China,2000,18.8,16.7,1.125748502994012
China,2001,19,16.7,1.1377245508982037
China,2002,19.3,16.7,1.1556886227544911
China,2003,19.5,16.7,1.1676646706586826
China,2004,19.8,16.7,1.18562874251497
China,2005,20,16.7,1.1976047904191618
China,2006,20.3,16.7,1.2155688622754492
China,2007,20.5,16.7,1.2275449101796407
China,2008,20.8,16.7,1.2455089820359282
China,2009,21,16.7,1.25748502994012
China,2010,21.3,16.7,1.2754491017964074
China,2011,21.5,16.7,1.2874251497005988
China,2012,21.7,16.7,1.2994011976047903
China,2013,21.9,16.7,1.311377245508982
China,2014,22.1,16.7,1.3233532934131738
China,2015,22.3,16.7,1.3353293413173655
China,2016,22.5,16.7,1.347305389221557
China,2017,22.7,16.7,1.3592814371257484
China,2018,22.9,16.7,1.3712574850299402
China,2019,23.1,16.7,1.3832335329341319
Finland,1990,71.8,71.8,1
Finland,1991,72,71.8,1.0027855153203342
Finland,1992,72.2,71.8,1.0055710306406687
Finland,1993,72.4,71.8,1.0083565459610029
Finland,1994,72.6,71.8,1.011142061281337
Finland,1995,72.8,71.8,1.0139275766016713
Finland,1996,72.9,71.8,1.0153203342618387
Finland,1997,73.1,71.8,1.0181058495821727
Finland,1998,73.3,71.8,1.0208913649025069
Finland,1999,73.5,71.8,1.0236768802228413
Finland,2000,73.7,71.8,1.0264623955431755
Finland,2001,73.6,71.8,1.0250696378830084
Finland,2002,73.6,71.8,1.0250696378830084
Finland,2003,73.5,71.8,1.0236768802228413
Finland,2004,73.4,71.8,1.0222841225626742
Finland,2005,73.4,71.8,1.0222841225626742
Finland,2006,73.4,71.8,1.0222841225626742
Finland,2007,73.3,71.8,1.0208913649025069
Finland,2008,73.3,71.8,1.0208913649025069
Finland,2009,73.3,71.8,1.0208913649025069
Finland,2010,73.2,71.8,1.01949860724234
Finland,2011,73.3,71.8,1.0208913649025069
Finland,2012,73.4,71.8,1.0222841225626742
Finland,2013,73.5,71.8,1.0236768802228413
Finland,2014,73.6,71.8,1.0250696378830084
Finland,2015,73.7,71.8,1.0264623955431755
Finland,2016,73.7,71.8,1.0264623955431755
Finland,2017,73.7,71.8,1.0264623955431755
Finland,2018,73.7,71.8,1.0264623955431755
Finland,2019,73.7,71.8,1.0264623955431755
United Kingdom,1990,11.5,11.5,1
United Kingdom,1991,11.6,11.5,1.008695652173913
United Kingdom,1992,11.6,11.5,1.008695652173913
United Kingdom,1993,11.7,11.5,1.017391304347826
United Kingdom,1994,11.8,11.5,1.0260869565217392
United Kingdom,1995,11.8,11.5,1.0260869565217392
United Kingdom,1996,11.9,11.5,1.0347826086956522
United Kingdom,1997,12,11.5,1.0434782608695652
United Kingdom,1998,12.1,11.5,1.0521739130434782
United Kingdom,1999,12.1,11.5,1.0521739130434782
United Kingdom,2000,12.2,11.5,1.0608695652173912
United Kingdom,2001,12.3,11.5,1.0695652173913044
United Kingdom,2002,12.3,11.5,1.0695652173913044
United Kingdom,2003,12.3,11.5,1.0695652173913044
United Kingdom,2004,12.4,11.5,1.0782608695652174
United Kingdom,2005,12.4,11.5,1.0782608695652174
United Kingdom,2006,12.5,11.5,1.0869565217391304
United Kingdom,2007,12.5,11.5,1.0869565217391304
United Kingdom,2008,12.6,11.5,1.0956521739130434
United Kingdom,2009,12.6,11.5,1.0956521739130434
United Kingdom,2010,12.6,11.5,1.0956521739130434
United Kingdom,2011,12.7,11.5,1.1043478260869564
United Kingdom,2012,12.8,11.5,1.1130434782608696
United Kingdom,2013,12.9,11.5,1.1217391304347826
United Kingdom,2014,13,11.5,1.1304347826086956
United Kingdom,2015,13,11.5,1.1304347826086956
United Kingdom,2016,13.1,11.5,1.1391304347826086
United Kingdom,2017,13.1,11.5,1.1391304347826086
United Kingdom,2018,13.1,11.5,1.1391304347826086
United Kingdom,2019,13.2,11.5,1.1478260869565218
Indonesia,1990,65.4,65.4,1
Indonesia,1991,64.5,65.4,0.9862385321100916
Indonesia,1992,63.5,65.4,0.9709480122324158
Indonesia,1993,62.6,65.4,0.9571865443425076
Indonesia,1994,61.6,65.4,0.9418960244648318
Indonesia,1995,60.7,65.4,0.9281345565749235
Indonesia,1996,59.7,65.4,0.9128440366972477
Indonesia,1997,58.8,65.4,0.8990825688073393
Indonesia,1998,57.8,65.4,0.8837920489296635
Indonesia,1999,56.9,65.4,0.8700305810397553
Indonesia,2000,53.9,65.4,0.8241590214067277
Indonesia,2001,53.9,65.4,0.8241590214067277
Indonesia,2002,53.8,65.4,0.8226299694189602
Indonesia,2003,53.7,65.4,0.8211009174311926
Indonesia,2004,53.6,65.4,0.819571865443425
Indonesia,2005,53.5,65.4,0.8180428134556574
Indonesia,2006,53.4,65.4,0.8165137614678898
Indonesia,2007,53.3,65.4,0.8149847094801222
Indonesia,2008,53.3,65.4,0.8149847094801222
Indonesia,2009,53.2,65.4,0.8134556574923547
Indonesia,2010,53.1,65.4,0.8119266055045871
Indonesia,2011,52.6,65.4,0.8042813455657492
Indonesia,2012,52.1,65.4,0.7966360856269112
Indonesia,2013,51.6,65.4,0.7889908256880733
Indonesia,2014,51.1,65.4,0.7813455657492354
Indonesia,2015,50.6,65.4,0.7737003058103975
Indonesia,2016,50.7,65.4,0.7752293577981652
Indonesia,2017,50,65.4,0.7645259938837919
Indonesia,2018,49.7,65.4,0.7599388379204892
Indonesia,2019,49.4,65.4,0.7553516819571865
India,1990,21.5,21.5,1
India,1991,21.6,21.5,1.0046511627906978
India,1992,21.8,21.5,1.013953488372093
India,1993,21.9,21.5,1.0186046511627906
India,1994,22,21.5,1.0232558139534884
India,1995,22.1,21.5,1.0279069767441862
India,1996,22.2,21.5,1.0325581395348837
India,1997,22.4,21.5,1.041860465116279
India,1998,22.5,21.5,1.0465116279069768
India,1999,22.6,21.5,1.0511627906976744
India,2000,22.7,21.5,1.0558139534883721
India,2001,22.8,21.5,1.0604651162790697
India,2002,22.9,21.5,1.0651162790697675
India,2003,22.9,21.5,1.0651162790697675
India,2004,23,21.5,1.069767441860465
India,2005,23.1,21.5,1.0744186046511628
India,2006,23.1,21.5,1.0744186046511628
India,2007,23.2,21.5,1.0790697674418603
India,2008,23.3,21.5,1.0837209302325581
India,2009,23.3,21.5,1.0837209302325581
India,2010,23.4,21.5,1.0883720930232557
India,2011,23.5,21.5,1.0930232558139534
India,2012,23.6,21.5,1.0976744186046512
India,2013,23.6,21.5,1.0976744186046512
India,2014,23.7,21.5,1.1023255813953488
India,2015,23.8,21.5,1.1069767441860465
India,2016,23.9,21.5,1.111627906976744
India,2017,24,21.5,1.1162790697674418
India,2018,24.1,21.5,1.1209302325581396
India,2019,24.2,21.5,1.1255813953488372
Japan,1990,68.4,68.4,1
Japan,1991,68.4,68.4,1
Japan,1992,68.4,68.4,1
Japan,1993,68.4,68.4,1
Japan,1994,68.3,68.4,0.9985380116959063
Japan,1995,68.3,68.4,0.9985380116959063
Japan,1996,68.3,68.4,0.9985380116959063
Japan,1997,68.3,68.4,0.9985380116959063
Japan,1998,68.3,68.4,0.9985380116959063
Japan,1999,68.3,68.4,0.9985380116959063
Japan,2000,68.3,68.4,0.9985380116959063
Japan,2001,68.3,68.4,0.9985380116959063
Japan,2002,68.3,68.4,0.9985380116959063
Japan,2003,68.3,68.4,0.9985380116959063
Japan,2004,68.3,68.4,0.9985380116959063
Japan,2005,68.4,68.4,1
Japan,2006,68.4,68.4,1
Japan,2007,68.4,68.4,1
Japan,2008,68.4,68.4,1
Japan,2009,68.5,68.4,1.0014619883040934
Japan,2010,68.5,68.4,1.0014619883040934
Japan,2011,68.5,68.4,1.0014619883040934
Japan,2012,68.5,68.4,1.0014619883040934
Japan,2013,68.5,68.4,1.0014619883040934
Japan,2014,68.5,68.4,1.0014619883040934
Japan,2015,68.4,68.4,1
Japan,2016,68.4,68.4,1
Japan,2017,68.4,68.4,1
Japan,2018,68.4,68.4,1
Japan,2019,68.4,68.4,1
Poland,1990,29,29,1
Poland,1991,29.1,29,1.003448275862069
Poland,1992,29.1,29,1.003448275862069
Poland,1993,29.2,29,1.006896551724138
Poland,1994,29.2,29,1.006896551724138
Poland,1995,29.3,29,1.010344827586207
Poland,1996,29.4,29,1.013793103448276
Poland,1997,29.4,29,1.013793103448276
Poland,1998,29.5,29,1.0172413793103448
Poland,1999,29.5,29,1.0172413793103448
Poland,2000,29.6,29,1.0206896551724138
Poland,2001,29.7,29,1.0241379310344827
Poland,2002,29.8,29,1.0275862068965518
Poland,2003,29.9,29,1.0310344827586206
Poland,2004,29.9,29,1.0310344827586206
Poland,2005,30,29,1.0344827586206897
Poland,2006,30.1,29,1.0379310344827586
Poland,2007,30.2,29,1.0413793103448277
Poland,2008,30.3,29,1.0448275862068965
Poland,2009,30.4,29,1.0482758620689654
Poland,2010,30.5,29,1.0517241379310345
Poland,2011,30.5,29,1.0517241379310345
Poland,2012,30.6,29,1.0551724137931036
Poland,2013,30.6,29,1.0551724137931036
Poland,2014,30.7,29,1.0586206896551724
Poland,2015,30.8,29,1.0620689655172415
Poland,2016,30.8,29,1.0620689655172415
Poland,2017,30.9,29,1.0655172413793104
Poland,2018,30.9,29,1.0655172413793104
Poland,2019,30.9,29,1.0655172413793104
Sweden,1990,68.9,68.9,1
Sweden,1991,68.9,68.9,1
Sweden,1992,68.9,68.9,1
Sweden,1993,69,68.9,1.0014513788098693
Sweden,1994,69,68.9,1.0014513788098693
Sweden,1995,69,68.9,1.0014513788098693
Sweden,1996,69,68.9,1.0014513788098693
Sweden,1997,69.1,68.9,1.0029027576197387
Sweden,1998,69.1,68.9,1.0029027576197387
Sweden,1999,69.1,68.9,1.0029027576197387
Sweden,2000,69.1,68.9,1.0029027576197387
Sweden,2001,69.1,68.9,1.0029027576197387
Sweden,2002,69.1,68.9,1.0029027576197387
Sweden,2003,69.1,68.9,1.0029027576197387
Sweden,2004,69,68.9,1.0014513788098693
Sweden,2005,69,68.9,1.0014513788098693
Sweden,2006,69,68.9,1.0014513788098693
Sweden,2007,69,68.9,1.0014513788098693
Sweden,2008,69,68.9,1.0014513788098693
Sweden,2009,68.9,68.9,1
Sweden,2010,68.9,68.9,1
Sweden,2011,68.9,68.9,1
Sweden,2012,68.8,68.9,0.9985486211901305
Sweden,2013,68.8,68.9,0.9985486211901305
Sweden,2014,68.7,68.9,0.9970972423802612
Sweden,2015,68.7,68.9,0.9970972423802612
Sweden,2016,68.7,68.9,0.9970972423802612
Sweden,2017,68.7,68.9,0.9970972423802612
Sweden,2018,68.7,68.9,0.9970972423802612
Sweden,2019,68.7,68.9,0.9970972423802612
